"","queryName","queryId","matchName","matchId","guildId","guildName","reference","graph"
"55","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","ECOCORE:00000130","photoautotroph","NA","onto:implicit"
"56","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","SFWO:0000001","organotroph","NA","gratin:bactotraits"
"57","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","ECOCORE:00000122","photolithoautotroph","NA","onto:implicit"
"58","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","SFWO:0000002","lithotroph","NA","gratin:bactotraits"
"59","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","ECOCORE:00000123","chemoorganoautotroph","NA","onto:implicit"
"60","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","ECOCORE:00000129","chemoautotroph","NA","onto:implicit"
"61","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","ECOCORE:00000124","chemolithoautotroph","NA","onto:implicit"
"62","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","ECOCORE:00000125","photoorganoheterotroph","NA","onto:implicit"
"63","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","ECOCORE:00000131","photoheterotroph","NA","onto:implicit"
"64","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","ECOCORE:00000126","photolithoheterotroph","NA","onto:implicit"
"65","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","ECOCORE:00000127","chemoorganoheterotroph","NA","onto:implicit"
"66","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","ECOCORE:00000128","chemolithoheterotroph","NA","onto:implicit"
"67","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","SFWO:0000000","chemotroph","NA","gratin:bactotraits"
"68","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","SFWO:0000007","phototroph","NA","gratin:bactotraits"
"69","Streptomyces","NA","Streptomyces pini","c(""NCBITaxon:1520580"", ""NCBI:1520580"", ""GBIF:9266086"", ""https://tree.opentreeoflife.org/opentree/ottol@768205"")","SFWO:0000062","microorganism","NA","onto:implicit"
"70","Streptomyces","NA","Streptomyces pini","c(""NCBITaxon:1520580"", ""NCBI:1520580"", ""GBIF:9266086"", ""https://tree.opentreeoflife.org/opentree/ottol@768205"")","ECOCORE:00000010","heterotroph","NA","gratin:bactotraits"
"71","Streptomyces","NA","Streptomyces pini","c(""NCBITaxon:1520580"", ""NCBI:1520580"", ""GBIF:9266086"", ""https://tree.opentreeoflife.org/opentree/ottol@768205"")","ECOCORE:00000023","autotroph","NA","gratin:bactotraits"
"72","Streptomyces","NA","Streptomyces pini","c(""NCBITaxon:1520580"", ""NCBI:1520580"", ""GBIF:9266086"", ""https://tree.opentreeoflife.org/opentree/ottol@768205"")","ECOCORE:00000121","photoorganoautotroph","NA","onto:implicit"
"73","Streptomyces","NA","Streptomyces pini","c(""NCBITaxon:1520580"", ""NCBI:1520580"", ""GBIF:9266086"", ""https://tree.opentreeoflife.org/opentree/ottol@768205"")","ECOCORE:00000130","photoautotroph","NA","onto:implicit"
"74","Streptomyces","NA","Streptomyces pini","c(""NCBITaxon:1520580"", ""NCBI:1520580"", ""GBIF:9266086"", ""https://tree.opentreeoflife.org/opentree/ottol@768205"")","SFWO:0000001","organotroph","NA","gratin:bactotraits"
"75","Streptomyces","NA","Streptomyces pini","c(""NCBITaxon:1520580"", ""NCBI:1520580"", ""GBIF:9266086"", ""https://tree.opentreeoflife.org/opentree/ottol@768205"")","ECOCORE:00000122","photolithoautotroph","NA","onto:implicit"
"76","Streptomyces","NA","Streptomyces pini","c(""NCBITaxon:1520580"", ""NCBI:1520580"", ""GBIF:9266086"", ""https://tree.opentreeoflife.org/opentree/ottol@768205"")","SFWO:0000002","lithotroph","NA","gratin:bactotraits"
"77","Streptomyces","NA","Streptomyces pini","c(""NCBITaxon:1520580"", ""NCBI:1520580"", ""GBIF:9266086"", ""https://tree.opentreeoflife.org/opentree/ottol@768205"")","ECOCORE:00000123","chemoorganoautotroph","NA","onto:implicit"
"78","Streptomyces","NA","Streptomyces pini","c(""NCBITaxon:1520580"", ""NCBI:1520580"", ""GBIF:9266086"", ""https://tree.opentreeoflife.org/opentree/ottol@768205"")","ECOCORE:00000129","chemoautotroph","NA","onto:implicit"
"79","Streptomyces","NA","Streptomyces pini","c(""NCBITaxon:1520580"", ""NCBI:1520580"", ""GBIF:9266086"", ""https://tree.opentreeoflife.org/opentree/ottol@768205"")","ECOCORE:00000124","chemolithoautotroph","NA","onto:implicit"
"80","Streptomyces","NA","Streptomyces pini","c(""NCBITaxon:1520580"", ""NCBI:1520580"", ""GBIF:9266086"", ""https://tree.opentreeoflife.org/opentree/ottol@768205"")","ECOCORE:00000125","photoorganoheterotroph","NA","onto:implicit"
"81","Streptomyces","NA","Streptomyces pini","c(""NCBITaxon:1520580"", ""NCBI:1520580"", ""GBIF:9266086"", ""https://tree.opentreeoflife.org/opentree/ottol@768205"")","ECOCORE:00000131","photoheterotroph","NA","onto:implicit"
"82","Streptomyces","NA","Streptomyces pini","c(""NCBITaxon:1520580"", ""NCBI:1520580"", ""GBIF:9266086"", ""https://tree.opentreeoflife.org/opentree/ottol@768205"")","ECOCORE:00000126","photolithoheterotroph","NA","onto:implicit"
"83","Streptomyces","NA","Streptomyces pini","c(""NCBITaxon:1520580"", ""NCBI:1520580"", ""GBIF:9266086"", ""https://tree.opentreeoflife.org/opentree/ottol@768205"")","ECOCORE:00000127","chemoorganoheterotroph","NA","onto:implicit"
"84","Streptomyces","NA","Streptomyces pini","c(""NCBITaxon:1520580"", ""NCBI:1520580"", ""GBIF:9266086"", ""https://tree.opentreeoflife.org/opentree/ottol@768205"")","ECOCORE:00000132","chemoheterotroph","NA","onto:implicit"
"85","Streptomyces","NA","Streptomyces pini","c(""NCBITaxon:1520580"", ""NCBI:1520580"", ""GBIF:9266086"", ""https://tree.opentreeoflife.org/opentree/ottol@768205"")","ECOCORE:00000128","chemolithoheterotroph","NA","onto:implicit"
"86","Streptomyces","NA","Streptomyces pini","c(""NCBITaxon:1520580"", ""NCBI:1520580"", ""GBIF:9266086"", ""https://tree.opentreeoflife.org/opentree/ottol@768205"")","SFWO:0000000","chemotroph","NA","gratin:bactotraits"
"87","Streptomyces","NA","Streptomyces pini","c(""NCBITaxon:1520580"", ""NCBI:1520580"", ""GBIF:9266086"", ""https://tree.opentreeoflife.org/opentree/ottol@768205"")","SFWO:0000007","phototroph","NA","gratin:bactotraits"
"88","Flavobacterium","NA","Flavobacterium fluminis","c(""NCBITaxon:1433257"", ""NCBI:1433257"", ""https://tree.opentreeoflife.org/opentree/ottol@5291066"", ""GBIF:9758847"")","SFWO:0000062","microorganism","NA","onto:implicit"
"89","Flavobacterium","NA","Flavobacterium fluminis","c(""NCBITaxon:1433257"", ""NCBI:1433257"", ""https://tree.opentreeoflife.org/opentree/ottol@5291066"", ""GBIF:9758847"")","ECOCORE:00000010","heterotroph","NA","gratin:bactotraits"
"90","Flavobacterium","NA","Flavobacterium fluminis","c(""NCBITaxon:1433257"", ""NCBI:1433257"", ""https://tree.opentreeoflife.org/opentree/ottol@5291066"", ""GBIF:9758847"")","ECOCORE:00000023","autotroph","NA","gratin:bactotraits"
