queryName;queryId;matchName;matchId;guildId;guildName;reference;graph
Aporcelaimidae;NA;Paraxonchium;"c(""NCBITaxon:211260"", ""NCBI:211260"", ""https://tree.opentreeoflife.org/opentree/ottol@328182"", ""GBIF:4405272"")";SFWO:0000465;microalgivore;NA;onto:implicit
Aporcelaimidae;NA;Paraxonchium;"c(""NCBITaxon:211260"", ""NCBI:211260"", ""https://tree.opentreeoflife.org/opentree/ottol@328182"", ""GBIF:4405272"")";ECOCORE:00000019;herbivore;NA;onto:implicit
Aporcelaimidae;NA;Paraxonchium;"c(""NCBITaxon:211260"", ""NCBI:211260"", ""https://tree.opentreeoflife.org/opentree/ottol@328182"", ""GBIF:4405272"")";SFWO:0000065;protistivore;NA;onto:implicit
Aporcelaimidae;NA;Paraxonchium;"c(""NCBITaxon:211260"", ""NCBI:211260"", ""https://tree.opentreeoflife.org/opentree/ottol@328182"", ""GBIF:4405272"")";SFWO:0000027;bryophage;NA;onto:implicit
Aporcelaimidae;NA;Paraxonchium;"c(""NCBITaxon:211260"", ""NCBI:211260"", ""https://tree.opentreeoflife.org/opentree/ottol@328182"", ""GBIF:4405272"")";ECOCORE:00000015;fungivore;NA;onto:implicit
Aporcelaimidae;NA;Paraxonchium;"c(""NCBITaxon:211260"", ""NCBI:211260"", ""https://tree.opentreeoflife.org/opentree/ottol@328182"", ""GBIF:4405272"")";ECOCORE:00000088;carnivore;NA;onto:implicit
Aporcelaimidae;NA;Paraxonchium;"c(""NCBITaxon:211260"", ""NCBI:211260"", ""https://tree.opentreeoflife.org/opentree/ottol@328182"", ""GBIF:4405272"")";ECOCORE:00000089;predator;NA;onto:implicit
Seinuridae;NA;Aprutides;"c(""NCBITaxon:211416"", ""NCBI:211416"", ""GBIF:4406376"", ""https://tree.opentreeoflife.org/opentree/ottol@1059785"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Seinuridae;NA;Aprutides;"c(""NCBITaxon:211416"", ""NCBI:211416"", ""GBIF:4406376"", ""https://tree.opentreeoflife.org/opentree/ottol@1059785"")";ECOCORE:00000015;fungivore;NA;onto:implicit
Seinuridae;NA;Aprutides;"c(""NCBITaxon:211416"", ""NCBI:211416"", ""GBIF:4406376"", ""https://tree.opentreeoflife.org/opentree/ottol@1059785"")";SFWO:0000512;microphytophage;NA;onto:implicit
Seinuridae;NA;Aprutides;"c(""NCBITaxon:211416"", ""NCBI:211416"", ""GBIF:4406376"", ""https://tree.opentreeoflife.org/opentree/ottol@1059785"")";SFWO:0000061;microbivore;NA;onto:implicit
Monhysteridae;NA;Geomonhystera;"c(""NCBITaxon:129859"", ""NCBI:129859"", ""GBIF:4348575"", ""https://tree.opentreeoflife.org/opentree/ottol@1068051"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Monhysteridae;NA;Geomonhystera;"c(""NCBITaxon:129859"", ""NCBI:129859"", ""GBIF:4348575"", ""https://tree.opentreeoflife.org/opentree/ottol@1068051"")";SFWO:0000512;microphytophage;NA;onto:implicit
Monhysteridae;NA;Geomonhystera;"c(""NCBITaxon:129859"", ""NCBI:129859"", ""GBIF:4348575"", ""https://tree.opentreeoflife.org/opentree/ottol@1068051"")";ECOCORE:00000098;bacterivore;NA;onto:implicit
Monhysteridae;NA;Geomonhystera;"c(""NCBITaxon:129859"", ""NCBI:129859"", ""GBIF:4348575"", ""https://tree.opentreeoflife.org/opentree/ottol@1068051"")";SFWO:0000061;microbivore;NA;onto:implicit
Monhysteridae;NA;Monhystera;"c(""NCBITaxon:288547"", ""NCBI:288547"", ""https://tree.opentreeoflife.org/opentree/ottol@304050"", ""GBIF:2279705"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Monhysteridae;NA;Monhystera;"c(""NCBITaxon:288547"", ""NCBI:288547"", ""https://tree.opentreeoflife.org/opentree/ottol@304050"", ""GBIF:2279705"")";SFWO:0000512;microphytophage;NA;onto:implicit
Monhysteridae;NA;Monhystera;"c(""NCBITaxon:288547"", ""NCBI:288547"", ""https://tree.opentreeoflife.org/opentree/ottol@304050"", ""GBIF:2279705"")";ECOCORE:00000098;bacterivore;NA;onto:implicit
Monhysteridae;NA;Monhystera;"c(""NCBITaxon:288547"", ""NCBI:288547"", ""https://tree.opentreeoflife.org/opentree/ottol@304050"", ""GBIF:2279705"")";SFWO:0000061;microbivore;NA;onto:implicit
Monhysteridae;NA;Eumonhystera;"c(""NCBITaxon:288545"", ""NCBI:288545"", ""https://tree.opentreeoflife.org/opentree/ottol@304048"", ""GBIF:4348568"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Monhysteridae;NA;Eumonhystera;"c(""NCBITaxon:288545"", ""NCBI:288545"", ""https://tree.opentreeoflife.org/opentree/ottol@304048"", ""GBIF:4348568"")";SFWO:0000512;microphytophage;NA;onto:implicit
Monhysteridae;NA;Eumonhystera;"c(""NCBITaxon:288545"", ""NCBI:288545"", ""https://tree.opentreeoflife.org/opentree/ottol@304048"", ""GBIF:4348568"")";ECOCORE:00000098;bacterivore;NA;onto:implicit
Monhysteridae;NA;Eumonhystera;"c(""NCBITaxon:288545"", ""NCBI:288545"", ""https://tree.opentreeoflife.org/opentree/ottol@304048"", ""GBIF:4348568"")";SFWO:0000061;microbivore;NA;onto:implicit
Plectidae;NA;Plectus;"c(""NCBITaxon:49353"", ""NCBI:49353"", ""GBIF:2283075"", ""https://tree.opentreeoflife.org/opentree/ottol@1054683"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Plectidae;NA;Plectus;"c(""NCBITaxon:49353"", ""NCBI:49353"", ""GBIF:2283075"", ""https://tree.opentreeoflife.org/opentree/ottol@1054683"")";SFWO:0000512;microphytophage;NA;onto:implicit
Plectidae;NA;Plectus;"c(""NCBITaxon:49353"", ""NCBI:49353"", ""GBIF:2283075"", ""https://tree.opentreeoflife.org/opentree/ottol@1054683"")";ECOCORE:00000098;bacterivore;NA;onto:implicit
Plectidae;NA;Plectus;"c(""NCBITaxon:49353"", ""NCBI:49353"", ""GBIF:2283075"", ""https://tree.opentreeoflife.org/opentree/ottol@1054683"")";SFWO:0000061;microbivore;NA;onto:implicit
Plectidae;NA;Anaplectus;"c(""NCBITaxon:211402"", ""NCBI:211402"", ""https://tree.opentreeoflife.org/opentree/ottol@533542"", ""GBIF:2283130"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Plectidae;NA;Anaplectus;"c(""NCBITaxon:211402"", ""NCBI:211402"", ""https://tree.opentreeoflife.org/opentree/ottol@533542"", ""GBIF:2283130"")";SFWO:0000512;microphytophage;NA;onto:implicit
Plectidae;NA;Anaplectus;"c(""NCBITaxon:211402"", ""NCBI:211402"", ""https://tree.opentreeoflife.org/opentree/ottol@533542"", ""GBIF:2283130"")";ECOCORE:00000098;bacterivore;NA;onto:implicit
Plectidae;NA;Anaplectus;"c(""NCBITaxon:211402"", ""NCBI:211402"", ""https://tree.opentreeoflife.org/opentree/ottol@533542"", ""GBIF:2283130"")";SFWO:0000061;microbivore;NA;onto:implicit
Plectidae;NA;Chronogaster;"c(""NCBITaxon:288532"", ""NCBI:288532"", ""https://tree.opentreeoflife.org/opentree/ottol@929423"", ""GBIF:2283256"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Plectidae;NA;Chronogaster;"c(""NCBITaxon:288532"", ""NCBI:288532"", ""https://tree.opentreeoflife.org/opentree/ottol@929423"", ""GBIF:2283256"")";SFWO:0000512;microphytophage;NA;onto:implicit
Plectidae;NA;Chronogaster;"c(""NCBITaxon:288532"", ""NCBI:288532"", ""https://tree.opentreeoflife.org/opentree/ottol@929423"", ""GBIF:2283256"")";ECOCORE:00000098;bacterivore;NA;onto:implicit
Plectidae;NA;Chronogaster;"c(""NCBITaxon:288532"", ""NCBI:288532"", ""https://tree.opentreeoflife.org/opentree/ottol@929423"", ""GBIF:2283256"")";SFWO:0000061;microbivore;NA;onto:implicit
Panagrolaimidae;NA;Panagrolaimus;"c(""NCBITaxon:55784"", ""NCBI:55784"", ""https://tree.opentreeoflife.org/opentree/ottol@70804"", ""GBIF:2283711"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Panagrolaimidae;NA;Panagrolaimus;"c(""NCBITaxon:55784"", ""NCBI:55784"", ""https://tree.opentreeoflife.org/opentree/ottol@70804"", ""GBIF:2283711"")";SFWO:0000512;microphytophage;NA;onto:implicit
Panagrolaimidae;NA;Panagrolaimus;"c(""NCBITaxon:55784"", ""NCBI:55784"", ""https://tree.opentreeoflife.org/opentree/ottol@70804"", ""GBIF:2283711"")";ECOCORE:00000098;bacterivore;NA;onto:implicit
Panagrolaimidae;NA;Panagrolaimus;"c(""NCBITaxon:55784"", ""NCBI:55784"", ""https://tree.opentreeoflife.org/opentree/ottol@70804"", ""GBIF:2283711"")";SFWO:0000061;microbivore;NA;onto:implicit
Panagrolaimidae;NA;Baldwinema;"c(""NCBITaxon:1723715"", ""NCBI:1723715"", ""https://tree.opentreeoflife.org/opentree/ottol@5680767"", ""GBIF:10831470"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Panagrolaimidae;NA;Baldwinema;"c(""NCBITaxon:1723715"", ""NCBI:1723715"", ""https://tree.opentreeoflife.org/opentree/ottol@5680767"", ""GBIF:10831470"")";SFWO:0000512;microphytophage;NA;onto:implicit
Panagrolaimidae;NA;Baldwinema;"c(""NCBITaxon:1723715"", ""NCBI:1723715"", ""https://tree.opentreeoflife.org/opentree/ottol@5680767"", ""GBIF:10831470"")";ECOCORE:00000098;bacterivore;NA;onto:implicit
Panagrolaimidae;NA;Baldwinema;"c(""NCBITaxon:1723715"", ""NCBI:1723715"", ""https://tree.opentreeoflife.org/opentree/ottol@5680767"", ""GBIF:10831470"")";SFWO:0000061;microbivore;NA;onto:implicit
Rhabditidae;NA;Oscheius;"c(""NCBITaxon:42476"", ""NCBI:42476"", ""GBIF:4407718"", ""https://tree.opentreeoflife.org/opentree/ottol@498944"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Rhabditidae;NA;Oscheius;"c(""NCBITaxon:42476"", ""NCBI:42476"", ""GBIF:4407718"", ""https://tree.opentreeoflife.org/opentree/ottol@498944"")";SFWO:0000512;microphytophage;NA;onto:implicit
Rhabditidae;NA;Oscheius;"c(""NCBITaxon:42476"", ""NCBI:42476"", ""GBIF:4407718"", ""https://tree.opentreeoflife.org/opentree/ottol@498944"")";ECOCORE:00000098;bacterivore;NA;onto:implicit
Rhabditidae;NA;Oscheius;"c(""NCBITaxon:42476"", ""NCBI:42476"", ""GBIF:4407718"", ""https://tree.opentreeoflife.org/opentree/ottol@498944"")";SFWO:0000061;microbivore;NA;onto:implicit
Rhabditidae;NA;Pellioditis;"c(""NCBITaxon:35555"", ""NCBI:35555"", ""https://tree.opentreeoflife.org/opentree/ottol@1089838"", ""GBIF:4281896"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Rhabditidae;NA;Pellioditis;"c(""NCBITaxon:35555"", ""NCBI:35555"", ""https://tree.opentreeoflife.org/opentree/ottol@1089838"", ""GBIF:4281896"")";SFWO:0000512;microphytophage;NA;onto:implicit
