"finest_name","kingdom","phylum","class","order","family","genus","species","community"
"Saccharimonadales::Cluster_3967","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","unassigned","unassigned","unassigned","bacteria"
"Subgroup 10::Cluster_1258","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10","unassigned","bacteria"
"Candidatus Solibacter::Cluster_1815","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter","unassigned","bacteria"
"RB41::Cluster_2000","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","unassigned","bacteria"
"type III::Cluster_7178","Bacteria","Firmicutes","Bacilli","Entomoplasmatales","type III","unassigned","unassigned","bacteria"
"Flavobacterium::Cluster_79","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","bacteria"
"Ilumatobacter::Cluster_157","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter","unassigned","bacteria"
"Vicinamibacteraceae::Cluster_159","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","unassigned","unassigned","bacteria"
"Caldilineaceae::Cluster_184","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","unassigned","unassigned","bacteria"
"Streptosporangium::Cluster_290","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Streptosporangium","unassigned","bacteria"
"Paludibaculum::Cluster_257","Bacteria","Acidobacteriota","Acidobacteriae","unassigned","unassigned","Paludibaculum","unassigned","bacteria"
"BIrii41::Cluster_294","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","unassigned","unassigned","bacteria"
"Actinoplanes::Cluster_415","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","unassigned","bacteria"
"Ohtaekwangia::Cluster_532","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia","unassigned","bacteria"
"Ferruginibacter::Cluster_533","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter","unassigned","bacteria"
"67-14::Cluster_373","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","unassigned","unassigned","bacteria"
"KD3-93::Cluster_374","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","KD3-93","unassigned","unassigned","bacteria"
"Steroidobacteraceae::Cluster_453","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","unassigned","unassigned","bacteria"
"Lacunisphaera::Cluster_621","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera","unassigned","bacteria"
"Flavobacterium::Cluster_571","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","bacteria"
"Flavobacterium::Cluster_693","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","bacteria"
"Vicinamibacteraceae::Cluster_395","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","unassigned","unassigned","bacteria"
"Enterobacteriaceae::Cluster_723","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","unassigned","unassigned","bacteria"
"Thermomonas::Cluster_865","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas","unassigned","bacteria"
"Sandaracinaceae::Cluster_768","Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","unassigned","unassigned","bacteria"
"Flavobacterium::Cluster_1016","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","bacteria"
"Ohtaekwangia::Cluster_1130","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia","unassigned","bacteria"
"KD3-93::Cluster_1160","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","KD3-93","unassigned","unassigned","bacteria"
"Ohtaekwangia::Cluster_1117","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia","unassigned","bacteria"
"env.OPS 17::Cluster_1315","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS 17","unassigned","unassigned","bacteria"
"Algoriphagus terrigena::Cluster_1414","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Algoriphagus","Algoriphagus terrigena","bacteria"
"BIrii41::Cluster_1637","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","unassigned","unassigned","bacteria"
"Mitochondria::Cluster_2145","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","unassigned","unassigned","bacteria"
"Flavobacterium::Cluster_3600","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","bacteria"
"Flavobacterium::Cluster_4150","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unassigned","bacteria"
"KD3-93::Cluster_4249","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","KD3-93","unassigned","unassigned","bacteria"
"DSSF69::Cluster_5205","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","DSSF69","unassigned","bacteria"
"Lactobacillus::Cluster_2419","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","unassigned","bacteria"
"Weissella kandleri::Cluster_4783","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","Weissella kandleri","bacteria"
"env.OPS 17::Cluster_2596","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS 17","unassigned","unassigned","bacteria"
"Candidatus Solibacter::Cluster_1150","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter","unassigned","bacteria"
"Puia::Cluster_1153","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Puia","unassigned","bacteria"
"Dongia::Cluster_303","Bacteria","Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia","unassigned","bacteria"
"Pseudomonas::Cluster_64","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","unassigned","bacteria"
"Microscillaceae::Cluster_8111","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","unassigned","unassigned","bacteria"
"KF-JG30-B3::Cluster_1084","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","KF-JG30-B3","unassigned","unassigned","bacteria"
"Saccharimonadales::Cluster_1094","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","unassigned","unassigned","unassigned","bacteria"
"Candidatus Udaeobacter::Cluster_154","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","unassigned","bacteria"
