"","query","kingdom","phylum","class","order","family","genus","species","community"
"844","M03493:516:000000000-L4LRP:1:1110:23967:16936","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"845","M03493:516:000000000-L4LRP:1:1101:25414:12310","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"846","M03493:516:000000000-L4LRP:1:1104:21521:2800","Fungi","Ascomycota","Leotiomycetes","Helotiales","unassigned","unassigned","unassigned","fungi"
"847","M03493:516:000000000-L4LRP:1:1102:26635:14566","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Cercospora","Cercospora_sojina","fungi"
"848","M03493:516:000000000-L4LRP:1:2101:14985:19668","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","unassigned","unassigned","unassigned","fungi"
"849","M03493:516:000000000-L4LRP:1:1114:5459:22281","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_dimennae","fungi"
"850","M03493:516:000000000-L4LRP:1:2109:9499:20118","Fungi","Ascomycota","Leotiomycetes","Helotiales","unassigned","unassigned","unassigned","fungi"
"851","M03493:516:000000000-L4LRP:1:1106:9556:21716","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","unassigned","fungi"
"852","M03493:516:000000000-L4LRP:1:1113:9962:22796","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","unassigned","fungi"
"853","M03493:516:000000000-L4LRP:1:2106:7039:19865","Fungi","Ascomycota","Sordariomycetes","Xylariales","unassigned","unassigned","unassigned","fungi"
"854","M03493:516:000000000-L4LRP:1:2110:20017:8125","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Arthrobotrys","Arthrobotrys_conoides","fungi"
"855","M03493:516:000000000-L4LRP:1:1101:14845:2242","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unassigned","unassigned","fungi"
"856","M03493:516:000000000-L4LRP:1:1101:3458:14591","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"857","M03493:516:000000000-L4LRP:1:1101:19895:2446","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Hyphodermataceae","Hyphoderma","unassigned","fungi"
"858","M03493:516:000000000-L4LRP:1:2107:21132:19447","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"859","M03493:516:000000000-L4LRP:1:1111:14707:9989","Fungi","Basidiobolomycota","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"860","M03493:516:000000000-L4LRP:1:1101:17130:16779","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Helicodendron","Helicodendron_luteoalbum","fungi"
"861","M03493:516:000000000-L4LRP:1:1103:29244:14507","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unassigned","unassigned","unassigned","fungi"
"862","M03493:516:000000000-L4LRP:1:1102:13161:13479","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"863","M03493:516:000000000-L4LRP:1:1106:17376:17491","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Epicoccum","unassigned","fungi"
"864","M03493:516:000000000-L4LRP:1:2101:13967:18482","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arachnomycetaceae","Arachnomyces","Arachnomyces_gracilis","fungi"
"865","M03493:516:000000000-L4LRP:1:1101:21083:10619","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_sydowii","fungi"
"866","M03493:516:000000000-L4LRP:1:1106:10574:2795","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"867","M03493:516:000000000-L4LRP:1:1109:16036:10126","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","unassigned","unassigned","fungi"
"868","M03493:516:000000000-L4LRP:1:1103:15743:1723","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","Mucor_fragilis","fungi"
"869","M03493:516:000000000-L4LRP:1:2105:27942:19022","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unassigned","unassigned","fungi"
"870","M03493:516:000000000-L4LRP:1:1104:28210:14781","Fungi","Glomeromycota","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"871","M03493:516:000000000-L4LRP:1:1102:11361:19701","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unassigned","unassigned","fungi"
"872","M03493:516:000000000-L4LRP:1:2107:6843:17263","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"873","M03493:516:000000000-L4LRP:1:1101:22488:24691","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"874","M03493:516:000000000-L4LRP:1:1101:2902:18933","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","Pyrenochaetopsis_leptospora","fungi"
"875","M03493:516:000000000-L4LRP:1:1101:9892:27213","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"876","M03493:516:000000000-L4LRP:1:1109:3318:19794","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unassigned","unassigned","unassigned","fungi"
"877","M03493:516:000000000-L4LRP:1:1102:12320:16964","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","unassigned","unassigned","fungi"
"878","M03493:516:000000000-L4LRP:1:1101:17761:3692","Fungi","Ascomycota","Leotiomycetes","Helotiales","unassigned","unassigned","unassigned","fungi"
"879","M03493:516:000000000-L4LRP:1:1112:5372:6310","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","unassigned","fungi"
