"finest_name","kingdom","phylum","class","order","family","genus","species","community"
"Asagena","Metazoa","Arthropoda","Arachnida","Araneae","Theridiidae","Asagena","unassigned","macrofauna_surface"
"Lepidoptera","Metazoa","Arthropoda","Insecta","Lepidoptera","unassigned","unassigned","unassigned","macrofauna_surface"
"Histeridae","Metazoa","Arthropoda","Insecta","Coleoptera","Histeridae","unassigned","unassigned","macrofauna_surface"
"Arion","Metazoa","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","unassigned","macrofauna_surface"
"Thomisidae","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","unassigned","unassigned","macrofauna_surface"
"Dermestidae","Metazoa","Arthropoda","Insecta","Coleoptera","Dermestidae","unassigned","unassigned","macrofauna_surface"
"Thysanoptera","Metazoa","Arthropoda","Insecta","Thysanoptera","unassigned","unassigned","unassigned","macrofauna_surface"
"Pisaura mirabilis","Metazoa","Arthropoda","Arachnida","Araneae","Pisauridae","Pisaura","Pisaura mirabilis","macrofauna_surface"
"Plagiolepis pygmaea","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Plagiolepis","Plagiolepis pygmaea","macrofauna_surface"
"Hemiptera","Metazoa","Arthropoda","Insecta","Hemiptera","unassigned","unassigned","unassigned","macrofauna_surface"
"Phalangioidea","Metazoa","Arthropoda","Arachnida","Opiliones","unassigned","unassigned","unassigned","macrofauna_surface"
"Acari","Metazoa","Arthropoda","Arachnida","unassigned","unassigned","unassigned","unassigned","macrofauna_surface"
"Elateridae","Metazoa","Arthropoda","Insecta","Coleoptera","Elateridae","unassigned","unassigned","macrofauna_surface"
"Synema globosum","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Synema","Synema globosum","macrofauna_surface"
"Calathus melanocephalus","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Calathus","Calathus melanocephalus","macrofauna_surface"
"Psylloidea","Metazoa","Arthropoda","Insecta","Hemiptera","unassigned","unassigned","unassigned","macrofauna_surface"
"Xysticus","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Xysticus","unassigned","macrofauna_surface"
"Porcellio laevis","Metazoa","Arthropoda","Malacostraca","Isopoda","Porcellionidae","Porcellio","Porcellio laevis","macrofauna_surface"
"Alopecosa albofasciata","Metazoa","Arthropoda","Arachnida","Araneae","Lycosidae","Alopecosa","Alopecosa albofasciata","macrofauna_surface"
