"finest_name","kingdom","phylum","class","order","family","genus","species","community"
"Polyschema sclerotigenum::Cluster_33","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales fam_Incertae_sedis","Polyschema","Polyschema sclerotigenum","fungi"
"Helicoma::Cluster_92","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Helicoma","unassigned","fungi"
"Ascomycota::Cluster_93","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"Helotiaceae::Cluster_148","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","unassigned","unassigned","fungi"
"Alternaria rosae::Cluster_172","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria rosae","fungi"
"Ascomycota::Cluster_173","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"Preussia::Cluster_178","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","unassigned","fungi"
"Aspergillus niger::Cluster_438","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus niger","fungi"
"Agaricales::Cluster_241","Fungi","Basidiomycota","Agaricomycetes","Agaricales","unassigned","unassigned","unassigned","fungi"
"Pleosporales::Cluster_51","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unassigned","unassigned","unassigned","fungi"
"Mycosphaerella ellipsoidea::Cluster_299","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella","Mycosphaerella ellipsoidea","fungi"
"Sordariales::Cluster_163","Fungi","Ascomycota","Sordariomycetes","Sordariales","unassigned","unassigned","unassigned","fungi"
"Sigarispora arundinis::Cluster_359","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Sigarispora","Sigarispora arundinis","fungi"
"Waitea circinata::Cluster_192","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Waitea","Waitea circinata","fungi"
"Iodophanus carneus::Cluster_316","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Iodophanus","Iodophanus carneus","fungi"
"Polyschema sclerotigenum::Cluster_202","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales fam_Incertae_sedis","Polyschema","Polyschema sclerotigenum","fungi"
"Waitea circinata::Cluster_224","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Waitea","Waitea circinata","fungi"
"Coprinellus subdisseminatus::Cluster_534","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","Coprinellus subdisseminatus","fungi"
"Pezizaceae::Cluster_207","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","unassigned","unassigned","fungi"
"Penicillium::Cluster_460","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","unassigned","fungi"
"Gibellulopsis chrysanthemi::Cluster_110","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Gibellulopsis","Gibellulopsis chrysanthemi","fungi"
"Darksidea epsilon::Cluster_25","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea","Darksidea epsilon","fungi"
"Pestalotiopsis::Cluster_28","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","Pestalotiopsis","unassigned","fungi"
"Spegazzinia tessarthra::Cluster_31","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Spegazzinia","Spegazzinia tessarthra","fungi"
"Aspergillus flavus::Cluster_252","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","fungi"
