"finest_name","kingdom","phylum","class","order","family","genus","species","community"
"Rhyzobius","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Rhyzobius","unassigned","macrofauna_aerial"
"Runcinia grammica","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Runcinia","Runcinia grammica","macrofauna_aerial"
"Salticus","Metazoa","Arthropoda","Arachnida","Araneae","Salticidae","Salticus","unassigned","macrofauna_aerial"
"Saprinus","Metazoa","Arthropoda","Insecta","Coleoptera","Histeridae","Saprinus","unassigned","macrofauna_aerial"
"Scelionidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Scelionidae","unassigned","unassigned","macrofauna_aerial"
"Scelioninae","Metazoa","Arthropoda","Insecta","Hymenoptera","Scelionidae","unassigned","unassigned","macrofauna_aerial"
"Scymninae","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","unassigned","unassigned","macrofauna_aerial"
"Scymnus","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Scymnus","unassigned","macrofauna_aerial"
"Scymnus frontalis","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Scymnus","Scymnus frontalis","macrofauna_aerial"
"Scymnus interruptus","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Scymnus","Scymnus interruptus","macrofauna_aerial"
"Scymnus rubromaculatus","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Scymnus","Scymnus rubromaculatus","macrofauna_aerial"
"Sitona","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","Sitona","unassigned","macrofauna_aerial"
"Spalangia","Metazoa","Arthropoda","Insecta","Hymenoptera","Pteromalidae","Spalangia","unassigned","macrofauna_aerial"
"Spermophagus","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Spermophagus","unassigned","macrofauna_aerial"
"Sphaerophoria scripta","Metazoa","Arthropoda","Insecta","Diptera","Syrphidae","Sphaerophoria","Sphaerophoria scripta","macrofauna_aerial"
"Sphecodes","Metazoa","Arthropoda","Insecta","Hymenoptera","Halictidae","Sphecodes","unassigned","macrofauna_aerial"
"Staphylinidae","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","unassigned","unassigned","macrofauna_aerial"
"Stenodema","Metazoa","Arthropoda","Insecta","Hemiptera","Miridae","Stenodema","unassigned","macrofauna_aerial"
"Stethorus","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Stethorus","unassigned","macrofauna_aerial"
"Symphyta","Metazoa","Arthropoda","Insecta","Lepidoptera","Lasiocampidae","Symphyta","unassigned","macrofauna_aerial"
"Synema globosum","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Synema","Synema globosum","macrofauna_aerial"
"Syrphidae","Metazoa","Arthropoda","Insecta","Diptera","Syrphidae","unassigned","unassigned","macrofauna_aerial"
"Syrphus","Metazoa","Arthropoda","Insecta","Diptera","Syrphidae","Syrphus","unassigned","macrofauna_aerial"
"Teleasinae","Metazoa","Arthropoda","Insecta","Hymenoptera","Scelionidae","unassigned","unassigned","macrofauna_aerial"
"Telenominae","Metazoa","Arthropoda","Insecta","Hymenoptera","Scelionidae","unassigned","unassigned","macrofauna_aerial"
"Tenthredinidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","unassigned","unassigned","macrofauna_aerial"
"Tenthredo baetica","Metazoa","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","Tenthredo","Tenthredo baetica","macrofauna_aerial"
"Tenthredo baetica dominiquei","Metazoa","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","Tenthredo","Tenthredo baetica","macrofauna_aerial"
"Tenthredo bifasciata","Metazoa","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","Tenthredo","Tenthredo bifasciata","macrofauna_aerial"
"Tenthredo meridiana","Metazoa","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","Tenthredo","Tenthredo meridiana","macrofauna_aerial"
"Tenthredopsis","Metazoa","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","Tenthredopsis","unassigned","macrofauna_aerial"
"Tetracampinae","Metazoa","Arthropoda","Insecta","Hymenoptera","Tetracampidae","unassigned","unassigned","macrofauna_aerial"
"Tetramesa","Metazoa","Arthropoda","Insecta","Hymenoptera","Eurytomidae","Tetramesa","unassigned","macrofauna_aerial"
"Tetrastichinae","Metazoa","Arthropoda","Insecta","Hymenoptera","Eulophidae","unassigned","unassigned","macrofauna_aerial"
"Tettigoniidae","Metazoa","Arthropoda","Insecta","Orthoptera","Tettigoniidae","unassigned","unassigned","macrofauna_aerial"
"Tettigoniinae","Metazoa","Arthropoda","Insecta","Orthoptera","Tettigoniidae","unassigned","unassigned","macrofauna_aerial"
"Thysanoptera","Metazoa","Arthropoda","Insecta","Thysanoptera","unassigned","unassigned","unassigned","macrofauna_aerial"
"Tingis cardui","Metazoa","Arthropoda","Insecta","Hemiptera","Tingidae","Tingis","Tingis cardui","macrofauna_aerial"
"Torymidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Torymidae","unassigned","unassigned","macrofauna_aerial"
"Trachys troglodytiformis","Metazoa","Arthropoda","Insecta","Coleoptera","Buprestidae","Trachys","Trachys troglodytiformis","macrofauna_aerial"
"Trechinae","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","unassigned","unassigned","macrofauna_aerial"
"Trichopria","Metazoa","Arthropoda","Insecta","Hymenoptera","Diapriidae","Trichopria","unassigned","macrofauna_aerial"
"Tropinota","Metazoa","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Tropinota","unassigned","macrofauna_aerial"
"Tryphonini","Metazoa","Arthropoda","Insecta","Hymenoptera","Ichneumonidae","unassigned","unassigned","macrofauna_aerial"
"Trypoxylon","Metazoa","Arthropoda","Insecta","Hymenoptera","Crabronidae","Trypoxylon","unassigned","macrofauna_aerial"
"Tychius","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","Tychius","unassigned","macrofauna_aerial"
"Tytthaspis sedecimpunctata","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Tytthaspis","Tytthaspis sedecimpunctata","macrofauna_aerial"
"Vespidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Vespidae","unassigned","unassigned","macrofauna_aerial"
"Andrena","Metazoa","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena","unassigned","macrofauna_aerial"
"Corticariinae","Metazoa","Arthropoda","Insecta","Coleoptera","Latridiidae","unassigned","unassigned","macrofauna_aerial"
"Delphacini","Metazoa","Arthropoda","Insecta","Hemiptera","Delphacidae","unassigned","unassigned","macrofauna_aerial"
"Eucera","Metazoa","Arthropoda","Insecta","Hymenoptera","Apidae","Eucera","unassigned","macrofauna_aerial"
"Hylaeus","Metazoa","Arthropoda","Insecta","Hymenoptera","Colletidae","Hylaeus","unassigned","macrofauna_aerial"
"Lasioglossum","Metazoa","Arthropoda","Insecta","Hymenoptera","Halictidae","Lasioglossum","unassigned","macrofauna_aerial"
"Megaspilinae","Metazoa","Arthropoda","Insecta","Hymenoptera","Megaspilidae","unassigned","unassigned","macrofauna_aerial"
"Parmulini","Metazoa","Arthropoda","Insecta","Coleoptera","Corylophidae","unassigned","unassigned","macrofauna_aerial"
"Paromius gracilis","Metazoa","Arthropoda","Insecta","Hemiptera","Rhyparochromidae","Paromius","Paromius gracilis","macrofauna_aerial"
