"queryName","queryId","matchName","matchId","guildId","guildName","reference","graph","level","community"
"Euglypha rotunda","NA","Euglypha rotunda","c(""NCBITaxon:39714"", ""NCBI:39714"", ""https://tree.opentreeoflife.org/opentree/ottol@247675"")","SFWO:0000064","protist","NA","onto:implicit","species","protists"
"Euglypha rotunda","NA","Euglypha rotunda","c(""NCBITaxon:39714"", ""NCBI:39714"", ""https://tree.opentreeoflife.org/opentree/ottol@247675"")","SFWO:0000061","microbivore","NA","onto:implicit","species","protists"
"Euglypha rotunda","NA","Euglypha rotunda","c(""NCBITaxon:39714"", ""NCBI:39714"", ""https://tree.opentreeoflife.org/opentree/ottol@247675"")","SFWO:0000063","omnivore","NA","gratin:fioredonno_cercozoa","species","protists"
"Euglypha rotunda","NA","Euglypha rotunda","c(""NCBITaxon:39714"", ""NCBI:39714"", ""https://tree.opentreeoflife.org/opentree/ottol@247675"")","SFWO:0000472","testate amoebae","NA","onto:implicit","species","protists"
"Euglypha rotunda","NA","Euglypha rotunda","c(""NCBITaxon:39714"", ""NCBI:39714"", ""https://tree.opentreeoflife.org/opentree/ottol@247675"")","SFWO:0000599","heterotrophic protist","NA","onto:implicit","species","protists"
"Euglypha rotunda","NA","Euglypha rotunda","c(""NCBITaxon:39714"", ""NCBI:39714"", ""https://tree.opentreeoflife.org/opentree/ottol@247675"")","SFWO:0000063","omnivore","NA","gratin:giachello_protista","species","protists"
"Metabolomonas insania","NA","Metabolomonas insania","c(""NCBITaxon:1044902"", ""NCBI:1044902"", ""https://tree.opentreeoflife.org/opentree/ottol@4019189"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","protists"
"Metabolomonas insania","NA","Metabolomonas insania","c(""NCBITaxon:1044902"", ""NCBI:1044902"", ""https://tree.opentreeoflife.org/opentree/ottol@4019189"")","SFWO:0000512","microphytophage","NA","onto:implicit","species","protists"
"Metabolomonas insania","NA","Metabolomonas insania","c(""NCBITaxon:1044902"", ""NCBI:1044902"", ""https://tree.opentreeoflife.org/opentree/ottol@4019189"")","SFWO:0000062","microorganism","NA","onto:implicit","species","protists"
"Metabolomonas insania","NA","Metabolomonas insania","c(""NCBITaxon:1044902"", ""NCBI:1044902"", ""https://tree.opentreeoflife.org/opentree/ottol@4019189"")","ECOCORE:00000098","bacterivore","NA","gratin:fioredonno_cercozoa","species","protists"
