queryName;queryId;matchName;matchId;interactionId;interactionName;resourceId;resourceName;reference;graph
Plectidae;NA;Plectus;"c(""NCBITaxon:49353"", ""NCBI:49353"", ""GBIF:2283075"", ""https://tree.opentreeoflife.org/opentree/ottol@1054683"")";RO:0002470;eats;NCBI:2157;Archaea;NA;gratin:hedde_misc1
Plectidae;NA;Anaplectus;"c(""NCBITaxon:211402"", ""NCBI:211402"", ""https://tree.opentreeoflife.org/opentree/ottol@533542"", ""GBIF:2283130"")";RO:0002470;eats;GBIF:3;Bacteria;NA;gratin:nematrait
Plectidae;NA;Anaplectus;"c(""NCBITaxon:211402"", ""NCBI:211402"", ""https://tree.opentreeoflife.org/opentree/ottol@533542"", ""GBIF:2283130"")";RO:0002470;eats;GBIF:2;Archaea;NA;gratin:nematrait
Plectidae;NA;Chronogaster;"c(""NCBITaxon:288532"", ""NCBI:288532"", ""https://tree.opentreeoflife.org/opentree/ottol@929423"", ""GBIF:2283256"")";RO:0002470;eats;GBIF:2;Archaea;NA;gratin:nematrait
Plectidae;NA;Chronogaster;"c(""NCBITaxon:288532"", ""NCBI:288532"", ""https://tree.opentreeoflife.org/opentree/ottol@929423"", ""GBIF:2283256"")";RO:0002470;eats;GBIF:3;Bacteria;NA;gratin:nematrait
Panagrolaimidae;NA;Panagrolaimus;"c(""NCBITaxon:55784"", ""NCBI:55784"", ""https://tree.opentreeoflife.org/opentree/ottol@70804"", ""GBIF:2283711"")";RO:0002470;eats;GBIF:3;Bacteria;NA;gratin:nematrait
Panagrolaimidae;NA;Panagrolaimus;"c(""NCBITaxon:55784"", ""NCBI:55784"", ""https://tree.opentreeoflife.org/opentree/ottol@70804"", ""GBIF:2283711"")";RO:0002470;eats;GBIF:2;Archaea;NA;gratin:nematrait
Panagrolaimidae;NA;Panagrolaimus;"c(""NCBITaxon:55784"", ""NCBI:55784"", ""https://tree.opentreeoflife.org/opentree/ottol@70804"", ""GBIF:2283711"")";RO:0002470;eats;NCBI:2;Bacteria;NA;gratin:hedde_misc1
Panagrolaimidae;NA;Panagrolaimus;"c(""NCBITaxon:55784"", ""NCBI:55784"", ""https://tree.opentreeoflife.org/opentree/ottol@70804"", ""GBIF:2283711"")";RO:0002470;eats;NCBI:2157;Archaea;NA;gratin:hedde_misc1
Panagrolaimidae;NA;Baldwinema;"c(""NCBITaxon:1723715"", ""NCBI:1723715"", ""https://tree.opentreeoflife.org/opentree/ottol@5680767"", ""GBIF:10831470"")";RO:0002470;eats;GBIF:2;Archaea;NA;gratin:nematrait
Panagrolaimidae;NA;Baldwinema;"c(""NCBITaxon:1723715"", ""NCBI:1723715"", ""https://tree.opentreeoflife.org/opentree/ottol@5680767"", ""GBIF:10831470"")";RO:0002470;eats;GBIF:3;Bacteria;NA;gratin:nematrait
Rhabditidae;NA;Oscheius;"c(""NCBITaxon:42476"", ""NCBI:42476"", ""GBIF:4407718"", ""https://tree.opentreeoflife.org/opentree/ottol@498944"")";RO:0002470;eats;GBIF:3;Bacteria;NA;gratin:nematrait
Rhabditidae;NA;Oscheius;"c(""NCBITaxon:42476"", ""NCBI:42476"", ""GBIF:4407718"", ""https://tree.opentreeoflife.org/opentree/ottol@498944"")";RO:0002470;eats;GBIF:2;Archaea;NA;gratin:nematrait
Rhabditidae;NA;Pellioditis;"c(""NCBITaxon:35555"", ""NCBI:35555"", ""https://tree.opentreeoflife.org/opentree/ottol@1089838"", ""GBIF:4281896"")";RO:0002470;eats;GBIF:2;Archaea;NA;gratin:nematrait
Rhabditidae;NA;Pellioditis;"c(""NCBITaxon:35555"", ""NCBI:35555"", ""https://tree.opentreeoflife.org/opentree/ottol@1089838"", ""GBIF:4281896"")";RO:0002470;eats;GBIF:3;Bacteria;NA;gratin:nematrait
Rhabditidae;NA;Rhabditis;"c(""NCBITaxon:6244"", ""NCBI:6244"", ""https://tree.opentreeoflife.org/opentree/ottol@920944"", ""GBIF:2279676"")";RO:0002470;eats;GBIF:3;Bacteria;NA;gratin:nematrait
Rhabditidae;NA;Rhabditis;"c(""NCBITaxon:6244"", ""NCBI:6244"", ""https://tree.opentreeoflife.org/opentree/ottol@920944"", ""GBIF:2279676"")";RO:0002470;eats;GBIF:2;Archaea;NA;gratin:nematrait
Rhabditidae;NA;Rhabditis;"c(""NCBITaxon:6244"", ""NCBI:6244"", ""https://tree.opentreeoflife.org/opentree/ottol@920944"", ""GBIF:2279676"")";RO:0002470;eats;NCBI:2;Bacteria;NA;gratin:hedde_misc1
Rhabditidae;NA;Rhabditis;"c(""NCBITaxon:6244"", ""NCBI:6244"", ""https://tree.opentreeoflife.org/opentree/ottol@920944"", ""GBIF:2279676"")";RO:0002470;eats;NCBI:2157;Archaea;NA;gratin:hedde_misc1
Rhabditidae;NA;Mesorhabditis;"c(""NCBITaxon:53475"", ""NCBI:53475"", ""https://tree.opentreeoflife.org/opentree/ottol@854390"", ""GBIF:2283674"")";RO:0002470;eats;GBIF:2;Archaea;NA;gratin:nematrait
Rhabditidae;NA;Mesorhabditis;"c(""NCBITaxon:53475"", ""NCBI:53475"", ""https://tree.opentreeoflife.org/opentree/ottol@854390"", ""GBIF:2283674"")";RO:0002470;eats;GBIF:3;Bacteria;NA;gratin:nematrait
Rhabditidae;NA;Mesorhabditis;"c(""NCBITaxon:53475"", ""NCBI:53475"", ""https://tree.opentreeoflife.org/opentree/ottol@854390"", ""GBIF:2283674"")";RO:0002470;eats;NCBI:2157;Archaea;NA;gratin:hedde_misc1
Rhabditidae;NA;Mesorhabditis;"c(""NCBITaxon:53475"", ""NCBI:53475"", ""https://tree.opentreeoflife.org/opentree/ottol@854390"", ""GBIF:2283674"")";RO:0002470;eats;NCBI:2;Bacteria;NA;gratin:hedde_misc1
Rhabditidae;NA;Protorhabditis;"c(""NCBITaxon:96770"", ""NCBI:96770"", ""GBIF:2283654"", ""https://tree.opentreeoflife.org/opentree/ottol@3587969"")";RO:0002470;eats;GBIF:2;Archaea;NA;gratin:nematrait
Rhabditidae;NA;Protorhabditis;"c(""NCBITaxon:96770"", ""NCBI:96770"", ""GBIF:2283654"", ""https://tree.opentreeoflife.org/opentree/ottol@3587969"")";RO:0002470;eats;GBIF:3;Bacteria;NA;gratin:nematrait
Rhabdolaimidae;NA;Rhabdolaimus;"c(""NCBITaxon:452275"", ""NCBI:452275"", ""GBIF:2283127"", ""https://tree.opentreeoflife.org/opentree/ottol@893537"")";RO:0002470;eats;GBIF:3;Bacteria;NA;gratin:nematrait
Rhabdolaimidae;NA;Rhabdolaimus;"c(""NCBITaxon:452275"", ""NCBI:452275"", ""GBIF:2283127"", ""https://tree.opentreeoflife.org/opentree/ottol@893537"")";RO:0002470;eats;GBIF:2;Archaea;NA;gratin:nematrait
Rhabdolaimidae;NA;Rhabdolaimus;"c(""NCBITaxon:452275"", ""NCBI:452275"", ""GBIF:2283127"", ""https://tree.opentreeoflife.org/opentree/ottol@893537"")";RO:0002470;eats;NCBI:2;Bacteria;NA;gratin:hedde_misc1
Rhabdolaimidae;NA;Rhabdolaimus;"c(""NCBITaxon:452275"", ""NCBI:452275"", ""GBIF:2283127"", ""https://tree.opentreeoflife.org/opentree/ottol@893537"")";RO:0002470;eats;NCBI:2157;Archaea;NA;gratin:hedde_misc1
Prismatolaimidae;NA;Prismatolaimus;"c(""NCBITaxon:70238"", ""NCBI:70238"", ""GBIF:2279885"", ""https://tree.opentreeoflife.org/opentree/ottol@455831"")";RO:0002470;eats;GBIF:2;Archaea;NA;gratin:nematrait
Prismatolaimidae;NA;Prismatolaimus;"c(""NCBITaxon:70238"", ""NCBI:70238"", ""GBIF:2279885"", ""https://tree.opentreeoflife.org/opentree/ottol@455831"")";RO:0002470;eats;GBIF:3;Bacteria;NA;gratin:nematrait
Prismatolaimidae;NA;Prismatolaimus;"c(""NCBITaxon:70238"", ""NCBI:70238"", ""GBIF:2279885"", ""https://tree.opentreeoflife.org/opentree/ottol@455831"")";RO:0002470;eats;NCBI:2;Bacteria;NA;gratin:hedde_misc1
Prismatolaimidae;NA;Prismatolaimus;"c(""NCBITaxon:70238"", ""NCBI:70238"", ""GBIF:2279885"", ""https://tree.opentreeoflife.org/opentree/ottol@455831"")";RO:0002470;eats;NCBI:2157;Archaea;NA;gratin:hedde_misc1
Aphelenchidae;NA;Seinura;"c(""NCBITaxon:293669"", ""NCBI:293669"", ""https://tree.opentreeoflife.org/opentree/ottol@695986"", ""GBIF:2284356"")";RO:0002470;eats;GBIF:5967481;Nematoda;NA;gratin:nematrait
Aphelenchidae;NA;Seinura;"c(""NCBITaxon:293669"", ""NCBI:293669"", ""https://tree.opentreeoflife.org/opentree/ottol@695986"", ""GBIF:2284356"")";RO:0002470;eats;GBIF:7;Protozoa;NA;gratin:nematrait
Aphelenchidae;NA;Seinura;"c(""NCBITaxon:293669"", ""NCBI:293669"", ""https://tree.opentreeoflife.org/opentree/ottol@695986"", ""GBIF:2284356"")";RO:0002470;eats;GBIF:3565;Enchytraeidae;NA;gratin:nematrait
Aphelenchidae;NA;Seinura;"c(""NCBITaxon:293669"", ""NCBI:293669"", ""https://tree.opentreeoflife.org/opentree/ottol@695986"", ""GBIF:2284356"")";RO:0002470;eats;GBIF:4;Chromista;NA;gratin:nematrait
Aphelenchidae;NA;Seinura;"c(""NCBITaxon:293669"", ""NCBI:293669"", ""https://tree.opentreeoflife.org/opentree/ottol@695986"", ""GBIF:2284356"")";RO:0002470;eats;GBIF:4;Chromista;NA;gratin:hedde_misc1
Aphelenchidae;NA;Seinura;"c(""NCBITaxon:293669"", ""NCBI:293669"", ""https://tree.opentreeoflife.org/opentree/ottol@695986"", ""GBIF:2284356"")";RO:0002470;eats;NCBI:6231;Nematoda;NA;gratin:hedde_misc1
Aphelenchidae;NA;Seinura;"c(""NCBITaxon:293669"", ""NCBI:293669"", ""https://tree.opentreeoflife.org/opentree/ottol@695986"", ""GBIF:2284356"")";RO:0002470;eats;NCBI:10190;Rotifera;NA;gratin:hedde_misc1
Aphelenchidae;NA;Seinura;"c(""NCBITaxon:293669"", ""NCBI:293669"", ""https://tree.opentreeoflife.org/opentree/ottol@695986"", ""GBIF:2284356"")";RO:0002470;eats;GBIF:7;Protozoa;NA;gratin:hedde_misc1
Aphelenchidae;NA;Seinura;"c(""NCBITaxon:293669"", ""NCBI:293669"", ""https://tree.opentreeoflife.org/opentree/ottol@695986"", ""GBIF:2284356"")";RO:0002470;eats;NCBI:6388;Enchytraeidae;NA;gratin:hedde_misc1
Aphelenchidae;NA;Aphelenchus;"c(""NCBITaxon:70225"", ""NCBI:70225"", ""https://tree.opentreeoflife.org/opentree/ottol@966923"", ""GBIF:2284394"")";RO:0002470;eats;GBIF:5;Fungi;NA;gratin:nematrait
Aphelenchidae;NA;Aphelenchus;"c(""NCBITaxon:70225"", ""NCBI:70225"", ""https://tree.opentreeoflife.org/opentree/ottol@966923"", ""GBIF:2284394"")";RO:0002470;eats;NCBI:4751;Fungi;NA;gratin:hedde_misc1
Aphelenchoididae;NA;Laimaphelenchus;"c(""NCBITaxon:288512"", ""NCBI:288512"", ""https://tree.opentreeoflife.org/opentree/ottol@979806"", ""GBIF:2284377"")";RO:0002470;eats;GBIF:5;Fungi;NA;gratin:nematrait
Aphelenchoididae;NA;Aphelenchoides;"c(""NCBITaxon:90723"", ""NCBI:90723"", ""https://tree.opentreeoflife.org/opentree/ottol@631059"", ""GBIF:2284354"")";RO:0002470;eats;GBIF:5;Fungi;NA;gratin:nematrait
Aphelenchoididae;NA;Aphelenchoides;"c(""NCBITaxon:90723"", ""NCBI:90723"", ""https://tree.opentreeoflife.org/opentree/ottol@631059"", ""GBIF:2284354"")";RO:0002470;eats;NCBI:4751;Fungi;NA;gratin:hedde_misc1
Aphelenchoididae;NA;Pseudaphelenchus;"c(""NCBITaxon:698701"", ""NCBI:698701"", ""https://tree.opentreeoflife.org/opentree/ottol@222094"", ""GBIF:9422198"")";RO:0002470;eats;GBIF:5;Fungi;NA;gratin:nematrait
Aphelenchoididae;NA;Pseudaphelenchus;"c(""NCBITaxon:698701"", ""NCBI:698701"", ""https://tree.opentreeoflife.org/opentree/ottol@222094"", ""GBIF:9422198"")";RO:0002470;eats;NCBI:4751;Fungi;NA;gratin:hedde_misc1
