"queryName","community","fun","version","best_level"
"Scelionidae","macrofauna_foliar","guilds","queryName","family"
"Ceraphronidae","macrofauna_foliar","guilds","queryName","family"
"Cecidomyiidae","macrofauna_foliar","guilds","queryName","family"
"Tettigoniidae","macrofauna_foliar","guilds","queryName","family"
"Tenthredinidae","macrofauna_foliar","guilds","queryName","family"
"Clubionidae","macrofauna_foliar","guilds","queryName","family"
"Carabidae","macrofauna_foliar","guilds","queryName","family"
"Coccinellidae","macrofauna_foliar","guilds","queryName","family"
"Latridiidae","macrofauna_foliar","guilds","queryName","family"
"Corylophidae","macrofauna_foliar","guilds","queryName","family"
"Brentidae","macrofauna_foliar","guilds","queryName","family"
"Hybotidae","macrofauna_foliar","guilds","queryName","family"
"Acaridae","macrofauna_foliar","guilds","queryName","family"
"Enchytraeidae","micro_arthropodes","guilds","queryName","family"
"Gnaphosidae","micro_arthropodes","guilds","queryName","family"
"Linyphiidae","micro_arthropodes","guilds","queryName","family"
"Theridiidae","micro_arthropodes","guilds","queryName","family"
"Thomisidae","micro_arthropodes","guilds","queryName","family"
"Zodariidae","micro_arthropodes","guilds","queryName","family"
"Anthicidae","micro_arthropodes","guilds","queryName","family"
"Carabidae","micro_arthropodes","guilds","queryName","family"
"Staphylinidae","micro_arthropodes","guilds","queryName","family"
"Braconidae","micro_arthropodes","guilds","queryName","family"
"Formicidae","micro_arthropodes","guilds","queryName","family"
"Onychiuridae","micro_arthropodes","guilds","queryName","family"
"Entomobryidae","micro_arthropodes","guilds","queryName","family"
"Brachystomellidae","micro_arthropodes","guilds","queryName","family"
"Katiannidae","micro_arthropodes","guilds","queryName","family"
"Sminthuridae","micro_arthropodes","guilds","queryName","family"
"Isotomidae","micro_arthropodes","guilds","queryName","family"
"Neelidae","micro_arthropodes","guilds","queryName","family"
"Hypogastruridae","micro_arthropodes","guilds","queryName","family"
"Neanuridae","micro_arthropodes","guilds","queryName","family"
"Tullbergiidae","micro_arthropodes","guilds","queryName","family"
"Cephalobidae","nematodes","guilds","queryName","family"
"Aporcelaimidae","nematodes","guilds","queryName","family"
"Seinuridae","nematodes","guilds","queryName","family"
"Monhysteridae","nematodes","guilds","queryName","family"
"Plectidae","nematodes","guilds","queryName","family"
"Panagrolaimidae","nematodes","guilds","queryName","family"
"Rhabditidae","nematodes","guilds","queryName","family"
"Rhabdolaimidae","nematodes","guilds","queryName","family"
"Prismatolaimidae","nematodes","guilds","queryName","family"
"Aphelenchidae","nematodes","guilds","queryName","family"
"Diphtherophoridae","nematodes","guilds","queryName","family"
"Mononchidae","nematodes","guilds","queryName","family"
"Qudsianematidae","nematodes","guilds","queryName","family"
"Nygolaimidae","nematodes","guilds","queryName","family"
"Belondiridae","nematodes","guilds","queryName","family"
"Pratylenchidae","nematodes","guilds","queryName","family"
"Dorylaimidae","nematodes","guilds","queryName","family"
"Hoplolaimidae","nematodes","guilds","queryName","family"
"Trichodoridae","nematodes","guilds","queryName","family"
"Tylenchidae","nematodes","guilds","queryName","family"
"Mylonchulidae","nematodes","guilds","queryName","family"
"Sphingomonadaceae","bacteria","guilds","queryName","family"
"Hymenobacteraceae","bacteria","guilds","queryName","family"
"Micrococcaceae","bacteria","guilds","queryName","family"
"Kineosporiaceae","bacteria","guilds","queryName","family"
"Bacillaceae","bacteria","guilds","queryName","family"
"Beijerinckiaceae","bacteria","guilds","queryName","family"
"Xanthobacteraceae","bacteria","guilds","queryName","family"
"Pyrinomonadaceae","bacteria","guilds","queryName","family"
"Gemmatimonadaceae","bacteria","guilds","queryName","family"
"Azospirillaceae","bacteria","guilds","queryName","family"
"Bryobacteraceae","bacteria","guilds","queryName","family"
"Chthoniobacteraceae","bacteria","guilds","queryName","family"
"Cellvibrionaceae","bacteria","guilds","queryName","family"
"Caulobacteraceae","bacteria","guilds","queryName","family"
"Xanthomonadaceae","bacteria","guilds","queryName","family"
"Blastocatellaceae","bacteria","guilds","queryName","family"
"Rhizobiaceae","bacteria","guilds","queryName","family"
"Mycobacteriaceae","bacteria","guilds","queryName","family"
"Comamonadaceae","bacteria","guilds","queryName","family"
"Micromonosporaceae","bacteria","guilds","queryName","family"
"Chitinophagaceae","bacteria","guilds","queryName","family"
"Oxalobacteraceae","bacteria","guilds","queryName","family"
"Nitrospiraceae","bacteria","guilds","queryName","family"
"Gaiellaceae","bacteria","guilds","queryName","family"
"Streptomycetaceae","bacteria","guilds","queryName","family"
"Steroidobacteraceae","bacteria","guilds","queryName","family"
"Vicinamibacteraceae","bacteria","guilds","queryName","family"
"Myxococcaceae","bacteria","guilds","queryName","family"
"Pseudomonadaceae","bacteria","guilds","queryName","family"
"Geodermatophilaceae","bacteria","guilds","queryName","family"
"Cellulomonadaceae","bacteria","guilds","queryName","family"
"Microscillaceae","bacteria","guilds","queryName","family"
"Nitrosomonadaceae","bacteria","guilds","queryName","family"
"Roseiflexaceae","bacteria","guilds","queryName","family"
"Opitutaceae","bacteria","guilds","queryName","family"
"Pseudonocardiaceae","bacteria","guilds","queryName","family"
"Dermabacteraceae","bacteria","guilds","queryName","family"
"Flavobacteriaceae","bacteria","guilds","queryName","family"
"Cytophagaceae","bacteria","guilds","queryName","family"
"Nocardioidaceae","bacteria","guilds","queryName","family"
"Burkholderiaceae","bacteria","guilds","queryName","family"
"Microbacteriaceae","bacteria","guilds","queryName","family"
"Longimicrobiaceae","bacteria","guilds","queryName","family"
"Erwiniaceae","bacteria","guilds","queryName","family"
"Sphingobacteriaceae","bacteria","guilds","queryName","family"
"Devosiaceae","bacteria","guilds","queryName","family"
"Alcaligenaceae","bacteria","guilds","queryName","family"
"Thermoanaerobaculaceae","bacteria","guilds","queryName","family"
"Saprospiraceae","bacteria","guilds","queryName","family"
"Rubritaleaceae","bacteria","guilds","queryName","family"
"Alicyclobacillaceae","bacteria","guilds","queryName","family"
"Methylophilaceae","bacteria","guilds","queryName","family"
"Frankiaceae","bacteria","guilds","queryName","family"
"Polyangiaceae","bacteria","guilds","queryName","family"
"Paenibacillaceae","bacteria","guilds","queryName","family"
"Thermomonosporaceae","bacteria","guilds","queryName","family"
"Nocardiaceae","bacteria","guilds","queryName","family"
"Rhodanobacteraceae","bacteria","guilds","queryName","family"
"Herpetosiphonaceae","bacteria","guilds","queryName","family"
"Yersiniaceae","bacteria","guilds","queryName","family"
"Rhodocyclaceae","bacteria","guilds","queryName","family"
"Intrasporangiaceae","bacteria","guilds","queryName","family"
"Micropepsaceae","bacteria","guilds","queryName","family"
"Acetobacteraceae","bacteria","guilds","queryName","family"
"Solirubrobacteraceae","bacteria","guilds","queryName","family"
"Acidothermaceae","bacteria","guilds","queryName","family"
"Fibrobacteraceae","bacteria","guilds","queryName","family"
"Catenulisporaceae","bacteria","guilds","queryName","family"
"Hyphomicrobiaceae","bacteria","guilds","queryName","family"
"Reyranellaceae","bacteria","guilds","queryName","family"
"Ilumatobacteraceae","bacteria","guilds","queryName","family"
"Sutterellaceae","bacteria","guilds","queryName","family"
"Phaselicystidaceae","bacteria","guilds","queryName","family"
"Spongiibacteraceae","bacteria","guilds","queryName","family"
"Caldilineaceae","bacteria","guilds","queryName","family"
"Streptosporangiaceae","bacteria","guilds","queryName","family"
"Enterobacteriaceae","bacteria","guilds","queryName","family"
"Cyclobacteriaceae","bacteria","guilds","queryName","family"
"Lactobacillaceae","bacteria","guilds","queryName","family"
"Aeromonadaceae","bacteria","guilds","queryName","family"
"Promicromonosporaceae","bacteria","guilds","queryName","family"
"Planococcaceae","bacteria","guilds","queryName","family"
"Weeksellaceae","bacteria","guilds","queryName","family"
"Halomonadaceae","bacteria","guilds","queryName","family"
"Nakamurellaceae","bacteria","guilds","queryName","family"
"Nostocaceae","bacteria","guilds","queryName","family"
"Crocinitomicaceae","bacteria","guilds","queryName","family"
"Legionellaceae","bacteria","guilds","queryName","family"
"Iamiaceae","bacteria","guilds","queryName","family"
"Nannocystaceae","bacteria","guilds","queryName","family"
"Peptostreptococcaceae","bacteria","guilds","queryName","family"
"Propionibacteriaceae","bacteria","guilds","queryName","family"
"Halieaceae","bacteria","guilds","queryName","family"
"Morganellaceae","bacteria","guilds","queryName","family"
"Neisseriaceae","bacteria","guilds","queryName","family"
"Semifissispora","fungi","guilds","queryName","genus"
"Tylospora","fungi","guilds","queryName","genus"
"Neodendryphiella","fungi","guilds","queryName","genus"
"Alternaria","fungi","guilds","queryName","genus"
"Acremonium","fungi","guilds","queryName","genus"
"Dichotomophthora","fungi","guilds","queryName","genus"
"Colletotrichum","fungi","guilds","queryName","genus"
"Darksidea","fungi","guilds","queryName","genus"
"Humicola","fungi","guilds","queryName","genus"
"Coprinellus","fungi","guilds","queryName","genus"
"Didymella","fungi","guilds","queryName","genus"
"Ascobolus","fungi","guilds","queryName","genus"
