queryName;queryId;matchName;matchId;trophicGroupId;trophicGroupName;reference;graph
Euglyphida;NA;Corythion dubium;"c(""NCBITaxon:432305"", ""NCBI:432305"", ""https://tree.opentreeoflife.org/opentree/ottol@15841"")";SFWO:0000270;protists.testate_amoebae;NA;onto:implicit
Protaspidae;NA;Cryothecomonas;"c(""NCBITaxon:151025"", ""NCBI:151025"", ""https://tree.opentreeoflife.org/opentree/ottol@442975"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Powellomycetaceae;NA;Powellomyces;"c(""NCBITaxon:109893"", ""IF:27628"", ""GBIF:2627426"", ""NCBI:109893"", ""https://tree.opentreeoflife.org/opentree/ottol@306907"")";SFWO:0000410;Fungi.all;NA;onto:implicit
Powellomycetaceae;NA;Powellomyces;"c(""NCBITaxon:109893"", ""IF:27628"", ""GBIF:2627426"", ""NCBI:109893"", ""https://tree.opentreeoflife.org/opentree/ottol@306907"")";SFWO:0000411;Fungi.saprotrophs;NA;onto:implicit
Powellomycetaceae;NA;Geranomyces;"c(""NCBITaxon:1126249"", ""IF:519610"", ""https://tree.opentreeoflife.org/opentree/ottol@369809"", ""GBIF:7983116"", ""NCBI:1126249"")";SFWO:0000410;Fungi.all;NA;onto:implicit
Powellomycetaceae;NA;Geranomyces;"c(""NCBITaxon:1126249"", ""IF:519610"", ""https://tree.opentreeoflife.org/opentree/ottol@369809"", ""GBIF:7983116"", ""NCBI:1126249"")";SFWO:0000411;Fungi.saprotrophs;NA;onto:implicit
Powellomycetaceae;NA;Fimicolochytrium;"c(""NCBITaxon:1396492"", ""IF:564196"", ""https://tree.opentreeoflife.org/opentree/ottol@5219621"", ""NCBI:1396492"", ""GBIF:8324895"")";SFWO:0000410;Fungi.all;NA;onto:implicit
Powellomycetaceae;NA;Fimicolochytrium;"c(""NCBITaxon:1396492"", ""IF:564196"", ""https://tree.opentreeoflife.org/opentree/ottol@5219621"", ""NCBI:1396492"", ""GBIF:8324895"")";SFWO:0000411;Fungi.saprotrophs;NA;onto:implicit
Powellomycetaceae;NA;Thoreauomyces;"c(""NCBITaxon:1396495"", ""IF:564194"", ""NCBI:1396495"", ""https://tree.opentreeoflife.org/opentree/ottol@5219620"", ""GBIF:8001310"")";SFWO:0000410;Fungi.all;NA;onto:implicit
Powellomycetaceae;NA;Thoreauomyces;"c(""NCBITaxon:1396495"", ""IF:564194"", ""NCBI:1396495"", ""https://tree.opentreeoflife.org/opentree/ottol@5219620"", ""GBIF:8001310"")";SFWO:0000411;Fungi.saprotrophs;NA;onto:implicit
Apusomonadidae;NA;Apusomonadidae;"c(""NCBITaxon:172820"", ""NCBI:172820"", ""https://tree.opentreeoflife.org/opentree/ottol@575898"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Apusomonadidae;NA;Apusomonas proboscidea;"c(""NCBITaxon:41120"", ""NCBI:41120"", ""https://tree.opentreeoflife.org/opentree/ottol@918390"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
