"","queryName","queryId","matchName","matchId","trophicGroupId","trophicGroupName","reference","graph"
"877","Cunninghamella","NA","Cunninghamella","c(""NCBITaxon:4852"", ""IF:20150"", ""GBIF:2551965"", ""NCBI:4852"", ""https://tree.opentreeoflife.org/opentree/ottol@887965"")","SFWO:0000417","Fungi.soil_saprotrophs","NA","onto:implicit"
"878","Amaurodon","NA","Amaurodon","c(""NCBITaxon:264137"", ""IF:17054"", ""https://tree.opentreeoflife.org/opentree/ottol@204706"", ""NCBI:264137"", ""GBIF:2522795"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"879","Amaurodon","NA","Amaurodon","c(""NCBITaxon:264137"", ""IF:17054"", ""https://tree.opentreeoflife.org/opentree/ottol@204706"", ""NCBI:264137"", ""GBIF:2522795"")","SFWO:0000411","Fungi.saprotrophs","NA","onto:implicit"
"880","Amaurodon","NA","Amaurodon","c(""NCBITaxon:264137"", ""IF:17054"", ""https://tree.opentreeoflife.org/opentree/ottol@204706"", ""NCBI:264137"", ""GBIF:2522795"")","SFWO:0000415","Fungi.litter_saprotrophs","NA","onto:implicit"
"881","Ciboria","NA","Ciboria","c(""NCBITaxon:38460"", ""IF:1040"", ""NCBI:38460"", ""GBIF:2580375"", ""https://tree.opentreeoflife.org/opentree/ottol@743498"")","SFWO:0000409","Fungi.pathotrophs","NA","onto:implicit"
"882","Ciboria","NA","Ciboria","c(""NCBITaxon:38460"", ""IF:1040"", ""NCBI:38460"", ""GBIF:2580375"", ""https://tree.opentreeoflife.org/opentree/ottol@743498"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"883","Ciboria","NA","Ciboria","c(""NCBITaxon:38460"", ""IF:1040"", ""NCBI:38460"", ""GBIF:2580375"", ""https://tree.opentreeoflife.org/opentree/ottol@743498"")","SFWO:0000412","Fungi.symbiotrophs","NA","onto:implicit"
"884","Ciboria","NA","Ciboria","c(""NCBITaxon:38460"", ""IF:1040"", ""NCBI:38460"", ""GBIF:2580375"", ""https://tree.opentreeoflife.org/opentree/ottol@743498"")","SFWO:0000418","Fungi.plant_pathogens","NA","onto:implicit"
"885","Fusicolla","NA","Fusicolla","c(""NCBITaxon:1053100"", ""IF:8294"", ""GBIF:3269384"", ""NCBI:1053100"", ""https://tree.opentreeoflife.org/opentree/ottol@943015"")","SFWO:0000409","Fungi.pathotrophs","NA","onto:implicit"
"886","Fusicolla","NA","Fusicolla","c(""NCBITaxon:1053100"", ""IF:8294"", ""GBIF:3269384"", ""NCBI:1053100"", ""https://tree.opentreeoflife.org/opentree/ottol@943015"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"887","Fusicolla","NA","Fusicolla","c(""NCBITaxon:1053100"", ""IF:8294"", ""GBIF:3269384"", ""NCBI:1053100"", ""https://tree.opentreeoflife.org/opentree/ottol@943015"")","SFWO:0000412","Fungi.symbiotrophs","NA","onto:implicit"
"888","Fusicolla","NA","Fusicolla","c(""NCBITaxon:1053100"", ""IF:8294"", ""GBIF:3269384"", ""NCBI:1053100"", ""https://tree.opentreeoflife.org/opentree/ottol@943015"")","SFWO:0000420","Fungi.fungal_parasites","NA","onto:implicit"
"889","Valsonectria","NA","Valsonectria","c(""NCBITaxon:252158"", ""IF:5708"", ""NCBI:252158"", ""GBIF:2562161"", ""https://tree.opentreeoflife.org/opentree/ottol@425768"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"890","Valsonectria","NA","Valsonectria","c(""NCBITaxon:252158"", ""IF:5708"", ""NCBI:252158"", ""GBIF:2562161"", ""https://tree.opentreeoflife.org/opentree/ottol@425768"")","SFWO:0000411","Fungi.saprotrophs","NA","onto:implicit"
"891","Valsonectria","NA","Valsonectria","c(""NCBITaxon:252158"", ""IF:5708"", ""NCBI:252158"", ""GBIF:2562161"", ""https://tree.opentreeoflife.org/opentree/ottol@425768"")","SFWO:0000413","Fungi.wood_saprotrophs","NA","onto:implicit"
"892","Peniophora","NA","Peniophora","c(""NCBITaxon:40463"", ""IF:18201"", ""https://tree.opentreeoflife.org/opentree/ottol@468072"", ""GBIF:2513703"", ""NCBI:40463"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
